"destination","origin","iso_d","iso_o","col","csl","cnl","prox1","lp1","prox2","lp2","cl","cle","contig","comlang_off","comlang_ethno","dist","distcap","distw","distwces","shared_hist","area_d","pop_d","area_o","pop_o","GDP_o","GDP_d","GDP_percapita_o","GDP_percapita_d","m_stock","m_flow_sd_drop_neg","m_flow_sd_rev_neg","m_flow_mig_rate","m_flow_da_min_open","m_flow_da_min_closed","m_flow_da_pb_closed","CS_wvs","CS_euc_wvs","CS_foursquare","CS_euc_foursquare"
"Australia","Mexico","AUS","MEX",0,0.0673397034406662,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,12985.17,13185.67,"13430.11","13362.18",0,7686848,25203200,1967210,127575529,1309881765941.94,1450499018770.09,10013.72425,58868.48063,6760,1491,1491,1104,0,1263,2018,-0.00297621514775616,0.272810064515753,-0.372997868993497,0.4796057159453
"Australia","Russia","AUS","RUS",0,0.0485000014305115,0,0.25,1.94586646556854,0.15281730890274,1.36925554275513,0.179068610072136,0.180307924747467,0,0,0,14503.07,14491.46,"13424.9","13270.88",0,7686848,25203200,17075400,145872260,1779170276409.99,1450499018770.09,9958.469727,58868.48063,28735,3494,3496,5278,4011,0,3349,-0.659231079766325,0.193941196511169,0.478852130680573,0.764428576284227
"Australia","Singapore","AUS","SGP",1,0.695610880851746,0.109906397759914,0,0,0.0315765291452408,0.282928258180618,0.259245336055756,0.254118680953979,0,1,1,6301.786,6217.666,"5893.497","5773.683",0,7686848,25203200,646,5804343,338646194792.89,1450499018770.09,61386.23615,58868.48063,64739,6429,6429,12187,6403,7250,16556,-0.629286388830881,0.312983117708915,-0.789549458301097,0.313197180256555
"Australia","South Korea","AUS","KOR",0,0,0,0,0,0,0,0,0,0,0,1,8329.652,8418.786,"8112.907","8080.573",0,7686848,25203200,99484,51225321,1482760164322.84,1450499018770.09,31640.21463,58868.48063,121204,16846,16846,21831,20772,20507,33882,-0.0562898671395232,0.192279962726963,0.429417982876403,0.642427719716585
"Australia","Spain","AUS","ESP",0,0.276957243680954,0.000199999994947575,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153116837143898,0.154175162315369,0,0,0,17699.45,17591.48,"17072.92","17016.02",0,7686848,25203200,505954,46736782,1572012697558.03,1450499018770.09,28087.89792,58868.48063,19594,2217,2217,3633,3118,3072,7326,0.988684231097517,0.767259750424521,0.681418527918843,0.753380232633437
"Australia","Turkey","AUS","TUR",0,0.165150538086891,9.99999974737875e-05,0,0,0.0668753162026405,0.599208295345306,0.0784554779529572,0.0789977610111237,0,0,0,14960.31,14512.6,"14180.88","14112.3",0,7686848,25203200,780576,83429607,1261946143648.6,1450499018770.09,11935.38787,58868.48063,42880,3945,3945,8136,3487,766,7310,-0.941351627695273,0.122050102698691,0.74622335485304,0.78929851320605
"Australia","United States","AUS","USA",1,0.931420207023621,0.574000000953674,0.0375000238418579,0.291880160570145,0.0195788145065308,0.175427779555321,0.639484822750092,0.636989712715149,0,1,1,16008.79,15961.95,"14802.03","14589.17",0,7686848,25203200,9529106,329064917,18349108235210.1,1450499018770.09,60698.0113,58868.48063,114549,11970,11970,21442,87852,1308,34055,0.995758080012804,0.786710249156315,-0.389121804221412,0.420283662308488
"Brazil","Argentina","BRA","ARG",0,0.0605287216603756,0.0007999999797903,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497703820466995,0.501142799854279,1,0,0,1691.067,2353.257,"2391.846","2089.281",0,8511920,211049519,2766889,44780675,437813398163.19,2364445788869.69,12716.2242,8592.210218,39078,2939,2939,6960,4103,9845,21201,0.7688173073309,0.919551069207198,0.840262155693444,0.772091495664375
"Brazil","Australia","BRA","AUS",0,0.00159951997920871,0.00039999998989515,0.25,1.94586646556854,0.0971352532505989,0.870339751243591,0.114175833761692,0.11496327072382,0,0,0,13371.76,14070.8,"14046.75","13983.36",0,8511920,211049519,7686848,25203200,1450499018770.09,2364445788869.69,58868.48063,8592.210218,791,58,58,141,91,539,4344,-0.419538333554789,0.298629618083487,-0.454959088886378,0.438370849228185
"Brazil","Chile","BRA","CHL",0,0.0593999996781349,0,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497301667928696,0.500743389129639,0,0,0,2590.783,3017.946,"3196.1","3017.132",0,8511920,211049519,756945,18952035,285037020831.58,2364445788869.69,13761.37447,8592.210218,20747,1560,1560,3695,2441,8775,12997,-0.85163814562801,0.850154202986728,0.963375485417054,0.862639436051311
"Brazil","France","BRA","FRA",0,0.00998283922672272,0.00039999998989515,0.5,3.89173293113708,0.294441282749176,2.63821792602539,0.345283091068268,0.347669959068298,0,0,0,9408.406,8732.79,"8681.18","8584.978",0,8511920,211049519,547026,65129731,2971919320115.83,2364445788869.69,38832.0242,8592.210218,12851,966,966,2289,1425,3907,14179,-0.499663860928873,0.52709026191885,0.471215232797538,0.626338868077727
"Brazil","Great Britain","BRA","GBR",0,0.0060937600210309,0,0.25,1.94586646556854,0.0971352532505989,0.870339751243591,0.113821364939213,0.114609114825726,0,0,0,9501.71,8797.828,"8931.505","8837.089",0,8511920,211049519,244110,67530161,2913556871434.81,2364445788869.69,47491.59456,8592.210218,6650,499,499,1185,713,1338,7290,-0.356892378425395,0.292568706831741,0.103606084259456,0.462814503647319
"Brazil","Indonesia","BRA","IDN",0,0,0,0,0,0.0768355056643486,0.688452363014221,0.0900344848632812,0.0906576067209244,0,0,0,15644.48,16326.22,"16024.37","15994.88",0,8511920,211049519,1933658,270625567,1204457195676.25,2364445788869.69,3892.421662,8592.210218,978,73,73,174,100,360,451,0.923927059267862,0.670426782711669,-0.480671513179351,0.28703149834602
"Brazil","Japan","BRA","JPN",0,0,0,0,0,0.0416429452598095,0.373124182224274,0.0487964674830437,0.0491341799497604,0,0,0,18549.61,17693.2,"17981.98","17931.71",0,8511920,211049519,377801,126860299,6187013947904.92,2364445788869.69,36043.7844,8592.210218,65955,4960,4960,11748,6798,15108,44705,-0.877154225654669,0.331351865473373,-0.944237974717826,0.293285728852682
"Brazil","Malaysia","BRA","MYS",0,0,0,0,0,0.0588616654276848,0.527405321598053,0.0689730569720268,0.0694504082202911,0,0,0,15940.63,16420.49,"16193.42","16164.04",0,8511920,211049519,329758,31949789,398946603155.68,2364445788869.69,11114.54271,8592.210218,163,12,12,29,16,31,53,0.0248265668117819,0.867710758303743,-0.309888632203385,0.195324428918845
"Brazil","Mexico","BRA","MEX",0,0.0593999996781349,0,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497301667928696,0.500743389129639,0,0,0,7439.636,6841.765,"7621.779","7513.793",0,8511920,211049519,1967210,127575529,1309881765941.94,2364445788869.69,10013.72425,8592.210218,3601,269,269,642,0,760,1953,0.908982235982724,0.773268440692568,0.995944793269125,0.955303464964573
"Brazil","Russia","BRA","RUS",0,9.99999974737875e-05,0,0.25,1.94586646556854,0.093720331788063,0.839741826057434,0.109819829463959,0.110579870641232,0,0,0,11820.15,11192.67,"11942.46","11770.14",0,8511920,211049519,17075400,145872260,1779170276409.99,2364445788869.69,9958.469727,8592.210218,1865,139,141,332,172,1,259,-0.405991891466539,0.750043791935796,-0.999634969872853,0.44154168134614
"Brazil","Singapore","BRA","SGP",0,0,0,0.0599999986588955,0.46700793504715,0.0556820146739483,0.498915374279022,0.0652472004294395,0.0656987652182579,0,0,0,16000.61,16540.27,"16065.5","16048.86",0,8511920,211049519,646,5804343,338646194792.89,2364445788869.69,61386.23615,8592.210218,154,10,10,28,10,53,67,-0.441459855452072,0.886276926022667,-0.187283085309531,0.344450819480406
"Brazil","South Korea","BRA","KOR",0,0,0,0,0,0,0,0,0,0,0,0,18364.51,17565.08,"17793.04","17741.18",0,8511920,211049519,99484,51225321,1482760164322.84,2364445788869.69,31640.21463,8592.210218,11531,866,866,2054,1222,2699,3816,-0.8826826162832,0.489630371874069,-0.999594527565845,0.230290424777839
"Brazil","Spain","BRA","ESP",0,0.0695584788918495,0.000199999994947575,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497402191162109,0.500843226909637,0,0,0,8389.78,7743.538,"7821.087","7696.928",0,8511920,211049519,505954,46736782,1572012697558.03,2364445788869.69,28087.89792,8592.210218,41321,3106,3106,7360,4866,10749,28491,-0.55096214089183,0.504201156026291,0.341743063086704,0.582566373649133
"Brazil","Turkey","BRA","TUR",0,0.00039999998989515,0,0,0,0.0899259746074677,0.805744051933289,0.105373665690422,0.10610294342041,0,0,0,10590.76,10374.6,"10224.84","10152.14",0,8511920,211049519,780576,83429607,1261946143648.6,2364445788869.69,11935.38787,8592.210218,486,36,36,87,33,41,280,0.701228453562005,0.822158259765144,-0.932311292720233,0.308687169565939
"Brazil","United States","BRA","USA",0,0.00989712029695511,0,0.325000017881393,2.5296266078949,0.146224617958069,1.31018447875977,0.171343415975571,0.172529265284538,0,0,0,7694.307,6794.436,"8088.514","7887.2",0,8511920,211049519,9529106,329064917,18349108235210.1,2364445788869.69,60698.0113,8592.210218,23726,1784,1784,4226,5353,4040,52925,-0.50127965346788,0.497411022419822,0.997362279689439,0.955303464964573
"Chile","Argentina","CHL","ARG",1,0.980100035667419,0.854399979114532,0,0,0,0,0.873441278934479,0.872565388679504,1,1,1,1128.317,1128.317,"1156.726","941.6383",0,756945,18952035,2766889,44780675,437813398163.19,285037020831.58,12716.2242,13761.37447,72813,22890,22890,11548,24701,18749,48740,-0.989918894219622,0.808132315408665,0.954876904690158,0.909373863817448
"Chile","Australia","CHL","AUS",0,0.0197999998927116,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11353.72,11326.56,"11611.42","11568.01",0,756945,18952035,7686848,25203200,1450499018770.09,285037020831.58,58868.48063,13761.37447,3952,0,0,0,0,221,3344,-0.118477853928043,0.32912568748119,-0.199500150035042,0.573362006142864
"Chile","Brazil","CHL","BRA",0,0.0593999996781349,0,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497301667928696,0.500743389129639,0,0,0,2590.783,3017.946,"3196.1","3017.132",0,756945,18952035,8511920,211049519,2364445788869.69,285037020831.58,8592.210218,13761.37447,20370,3729,3729,3124,4190,0,4029,-0.85163814562801,0.850154202986728,0.963375485417054,0.862639436051311
"Chile","France","CHL","FRA",0,0.128700003027916,0.00889999978244305,0.5,3.89173293113708,0.254505813121796,2.28039288520813,0.30447119474411,0.306516796350479,0,0,0,11663.39,11663.39,"11569.81","11550.63",0,756945,18952035,547026,65129731,2971919320115.83,285037020831.58,38832.0242,13761.37447,12562,0,0,1927,236,1228,3894,-0.0284789384421804,0.570406503444815,0.690475746682501,0.75428195326642
"Chile","Great Britain","CHL","GBR",0,0.0791999995708466,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11685.42,11685.42,"11689.2","11669.41",0,756945,18952035,244110,67530161,2913556871434.81,285037020831.58,47491.59456,13761.37447,6668,0,0,0,69,287,1006,-0.18567071071812,0.313386152443777,0.366524518382491,0.593340671936572
"Chile","Indonesia","CHL","IDN",0,0,0,0,0,0.0743691548705101,0.666353702545166,0.0871444642543793,0.0877475738525391,0,0,0,15614.28,15614.28,"15740.36","15716.14",0,756945,18952035,1933658,270625567,1204457195676.25,285037020831.58,3892.421662,13761.37447,343,0,0,0,0,0,0,-0.586335731775898,0.5477654664721,-0.698213400630403,0.329551974468597
"Chile","Japan","CHL","JPN",0,0,0,0,0,0.0689622163772583,0.617907047271729,0.080808699131012,0.0813679695129395,0,0,0,17247.38,17247.38,"17351.35","17345.3",0,756945,18952035,377801,126860299,6187013947904.92,285037020831.58,36043.7844,13761.37447,3231,0,0,0,0,0,45,0.495326077533468,0.44054359306062,-0.997949800346647,0.386970913016979
"Chile","Malaysia","CHL","MYS",0,0,0,0,0,0.0840988308191299,0.753532350063324,0.0985455140471458,0.0992275476455688,0,0,0,16562.12,16562.12,"16649.88","16632.83",0,756945,18952035,329758,31949789,398946603155.68,285037020831.58,11114.54271,13761.37447,100,0,0,0,0,0,0,0.502825399999999,0.911547806760161,-0.553494618981557,0.211064303094811
"Chile","Mexico","CHL","MEX",1,0.980100035667419,0.81879997253418,0,0,0,0,0.842496991157532,0.841406881809235,0,1,1,6621.323,6621.323,"6966.903","6886.097",0,756945,18952035,1967210,127575529,1309881765941.94,285037020831.58,10013.72425,13761.37447,6887,5403,5403,1056,0,4055,5388,-0.992599681664299,0.629141152245501,0.983593857581417,0.905771430513691
"Chile","Russia","CHL","RUS",0,0,0,0.25,1.94586646556854,0.102731950581074,0.920486629009247,0.120379477739334,0.121212609112263,0,0,0,14153.3,14153.3,"14814.34","14731.54",0,756945,18952035,17075400,145872260,1779170276409.99,285037020831.58,9958.469727,13761.37447,2344,0,2,0,0,2,13,0.824748550082701,0.849897219708996,-0.95577900872195,0.549571667659641
"Chile","Singapore","CHL","SGP",0,0,0,0.0599999986588955,0.46700793504715,0.0918117761611938,0.822641015052795,0.107583418488503,0.108327984809875,0,0,0,16402.79,16402.79,"16432.16","16415.23",0,756945,18952035,646,5804343,338646194792.89,285037020831.58,61386.23615,13761.37447,237,0,0,0,0,0,1,0.846256125566724,0.961438997345296,-0.443835238469781,0.360043009214296
"Chile","South Korea","CHL","KOR",0,0,0,0,0,0,0,0,0,0,0,0,18375.18,18375.18,"18230.14","18227.1",0,756945,18952035,99484,51225321,1482760164322.84,285037020831.58,31640.21463,13761.37447,4247,0,0,0,0,0,2,0.998051433503905,0.636403341290979,-0.970620394440561,0.338383911126246
"Chile","Spain","CHL","ESP",1,0.980100035667419,0.792099952697754,0,0,0,0,0.819288730621338,0.818038046360016,0,1,1,10715.11,10715.11,"10747.69","10716.51",1,756945,18952035,505954,46736782,1572012697558.03,285037020831.58,28087.89792,13761.37447,22842,4701,4701,3503,5483,1717,10895,0.0318178731865085,0.555559375725458,0.581238193719096,0.713414994122538
"Chile","Turkey","CHL","TUR",0,0,0,0,0,0.10965658724308,0.9825319647789,0.128493651747704,0.129382938146591,0,0,0,13118.55,13383.32,"13298.76","13284.23",0,756945,18952035,780576,83429607,1261946143648.6,285037020831.58,11935.38787,13761.37447,1019,0,0,0,0,1,9,-0.22352127333953,0.748028264985366,-0.801185375929871,0.430715931435438
"Chile","United States","CHL","USA",0,0.158399999141693,0.133500009775162,0.212500005960464,1.6539865732193,0.110946655273438,0.994091093540192,0.246149629354477,0.246929258108139,0,0,1,8271.045,8080.885,"8338.666","8267.964",0,756945,18952035,9529106,329064917,18349108235210.1,285037020831.58,60698.0113,13761.37447,20278,1837,18840,3110,29726,8341,23416,-0.0266133025279544,0.540949803169523,0.980298294971159,0.846607002230526
"France","Argentina","FRA","ARG",0,0.133927807211876,0.0103923194110394,0.5,3.89173293113708,0.254505813121796,2.28039288520813,0.305518478155136,0.307560980319977,0,0,0,11072.25,11072.25,"10932.34","10921.86",0,547026,65129731,2766889,44780675,437813398163.19,2971919320115.83,12716.2242,38832.0242,14253,1335,1335,2760,1983,2800,5703,0.169769777972541,0.580290475101917,0.874157276121538,0.833425848836808
"France","Australia","FRA","AUS",0,0.351933389902115,0.000499959976878017,0.25,1.94586646556854,0.141529113054276,1.26811242103577,0.166258364915848,0.167405545711517,0,0,0,16975.46,16938.09,"16513.02","16464.9",0,547026,65129731,7686848,25203200,1450499018770.09,2971919320115.83,58868.48063,38832.0242,9192,860,860,1780,1398,2266,9426,0.995928068089759,0.758070064181528,0.5710644881986,0.718889154538317
"France","Brazil","FRA","BRA",0,0.00998283922672272,0.00039999998989515,0.5,3.89173293113708,0.294441282749176,2.63821792602539,0.345283091068268,0.347669959068298,0,0,0,9408.406,8732.79,"8681.18","8584.978",0,547026,65129731,8511920,211049519,2364445788869.69,2971919320115.83,8592.210218,38832.0242,63208,5927,5927,12241,8648,3459,13702,-0.499663860928873,0.52709026191885,0.471215232797538,0.626338868077727
"France","Chile","FRA","CHL",0,0.128700003027916,0.00889999978244305,0.5,3.89173293113708,0.254505813121796,2.28039288520813,0.30447119474411,0.306516796350479,0,0,0,11663.39,11663.39,"11569.81","11550.63",0,547026,65129731,756945,18952035,285037020831.58,2971919320115.83,13761.37447,38832.0242,15857,1485,1628,3071,2518,6338,9224,-0.0284789384421804,0.570406503444815,0.690475746682501,0.75428195326642
"France","Great Britain","FRA","GBR",0,0.515176117420197,0,0.25,1.94586646556854,0.141529113054276,1.26811242103577,0.165841311216354,0.16698907315731,0,0,0,342.9475,342.9475,"749.6503","598.5457",0,547026,65129731,244110,67530161,2913556871434.81,2971919320115.83,47491.59456,38832.0242,176672,2478,2478,34235,9405,6113,45796,0.987501172917941,0.737565324143995,0.926092359769548,0.836112704870101
"France","Indonesia","FRA","IDN",0,0,0,0,0,0.0501802414655685,0.449619054794312,0.0588003173470497,0.0592072680592537,0,0,0,11584.25,11584.25,"11576.7","11547.48",0,547026,65129731,1933658,270625567,1204457195676.25,2971919320115.83,3892.421662,38832.0242,5446,511,511,1055,746,1619,2211,-0.793041362526081,0.212175445206803,-0.999942194861075,0.232022706587982
"France","Japan","FRA","JPN",0,0.0432000011205673,0,0,0,0.0253272447735071,0.226934179663658,0.0296780169010162,0.0298834145069122,0,0,0,9725.629,9725.629,"9803.116","9796.539",0,547026,65129731,377801,126860299,6187013947904.92,2971919320115.83,36043.7844,38832.0242,23536,2206,2206,4558,3222,4600,8673,0.85424841478106,0.682871302360424,-0.735355995928802,0.388421013420385
"France","Malaysia","FRA","MYS",0,0.0972000062465668,0,0,0,0.052250050008297,0.468164712190628,0.0612256824970245,0.0616494193673134,0,0,0,10436.4,10436.4,"10553.12","10537.39",0,547026,65129731,329758,31949789,398946603155.68,2971919320115.83,11114.54271,38832.0242,2793,261,261,541,371,624,975,-0.878357333081375,0.48703179597542,-0.98462326604664,0.0801245077736509
