,interest_name,audience
6003525963170,Corn tortilla,17666300
6004126787506,Carne,6600
6003102718434,Chardonnay,5229860
6003121610934,Caffè Americano,7112317
6003286448369,Popcorn,46957340
6002971652194,Noodle,96269590
6003098038715,Chaff,3890740
6003546597227,Guinness,11634790
6002867925910,Papaya,39405120
6003971379696,Jägermeister,5571920
6003113867992,Commercial fishing,8855600
6002964580317,Coffee Time,4128460
6003587328273,Spaghetti,26977170
6016421621843,Savoriness,11595240
6003174498414,Baking powder,15407480
6003274414371,Mayonnaise,24075260
6003303473060,Pringles,9795880
6003258270101,Llama,13185450
6002969863929,Infant formula,25635475
6003149051436,Churro,12520090
6003143587640,Digitalis,19145900
6003128232376,Strawberry,79714290
6003388238805,Ramen,27565350
6003393593683,Caviar,15626440
6003126294549,Potato chip,31013240
6003494525227,Charcuterie,7064840
6003568943518,Juniper,6104330
6003971029296,Bun,27437710
6003444800471,Bonbon,20054990
6003193258966,Soy sauce,30152940
6003353344432,Independence Day (United States),56401960
6003385665743,Smoked meat,5618110
6003309497853,Absolut Vodka,8633050
6003305676221,Sugarcane,20754580
6003453783403,Palmier,10033300
6003433899943,Aperol,2962980
6003202314813,Quince,3849770
6003227021938,Black pepper,43754400
6003593745887,Tandoor,6567910
6003179256614,Frozen yogurt,5981690
6003224369034,Ranch,43513290
6003420121712,Peach,67060970
6003316920363,Sponge cake,6863050
6004181311495,Spam (food),3751720
6002926079321,Countertop,42188930
6003223000676,Shellfish,20846010
6003184482284,Vanilla,75659420
6003540050027,Tanqueray,2331990
6003089538792,Ruffles,10140620
6003381931218,Peanut,50770180
6003372973375,Capsicum,20697720
6003374983581,Omelette,13470510
6014880631009,Švyturys,12420720
6003351967800,Pickled cucumber,16899670
6003386900912,Entrée,5654940
6003287467200,Spinach,17284030
6003704167913,Hot chocolate,10631560
6003870657760,Ferrero Rocher,7316550
6003480741064,Patty,8669500
6003375485477,Malt whisky,1621610
6003072110293,Mountain hut,4374780
6003352481319,Sangria,5433860
6003099475416,Haute cuisine,1427300
6003584747438,Churrasco,13062890
6003051641556,Animal print,4023120
6003320077418,Trattoria,9647590
6003358593004,Custard,24671160
6003760373113,Sourdough,5831590
6003227099899,Milka,8177460
6003029570185,Lettuce,26289090
6003450273042,Mug,31987750
6003375382181,Spritz (alcoholic beverage),5046010
6015454578907,Picanha,7087480
6003106877390,Siesta,1899740
6003175129849,Halal,80038970
6003325534336,Vitis vinifera,26582320
6003432713970,Ketchup,19442990
6002899966562,Mousse,21923020
6003218970958,Margarita,4973430
6003326444336,Juniper berry,1333850
6003257173486,Aquarius,327790
6003306141908,Animal product,4790970
6003287034297,Hazelnut,11613420
6003543480995,Lime (fruit),26693860
6003241958011,Apple pie,5877700
6002959056520,Flax,10352470
6003221337067,Pinot noir,3947400
6003107615435,Bubble tea,26449630
6003162363178,Ceviche,10776720
6003537575473,Quinoa,8824460
6003146248626,Litre,79091070
6003137828976,Fresca,1480100
6004418542366,Lasagne,15413290
6003257280969,Kale,12346260
6003159920608,Red velvet cake,9683280
6003108751872,Infusion,10044560
6003709680153,Tropicana,5335440
6003336950256,Rosemary,9467540
6003368851175,Angelica,5622530
6003327174454,Tex-Mex,4429360
6003530511863,White chocolate,9971100
6003258120082,Nerds (candy),26204430
6003374633674,Muffin,20709480
6003352732919,E & J Gallo Winery,7379050
6002925770121,Risotto,6154730
6003304632708,Porridge,15070850
6003263292593,Toast,24710790
