,id,audience
Vineyard,6003288000941,28755380
Steakhouse,6003173382014,28071620
Bagel,6002972052194,10121330
Pâtisserie,6003226588938,31125270
Soba,6003195947655,1900130
Ginger,6003407338335,65318300
Starch,6003116291226,26696800
Red wine,6004297828279,12893613
Baguette,6003290207943,8333730
Champagne,6003375222181,23820400
Mushroom,6003114427300,60556690
Toast,6003263292593,24710790
Motor oil,6003495978631,28437020
Tea (meal),6003337016359,16280080
Cabbage,6003195162498,21334880
White wine,6005492606658,9531159
Izakaya,6003453057871,4563710
Sirloin steak,6003240921499,6601310
Bento,6003091832817,9037730
Hot pot,6003265590114,33379140
Potato chip,6003126294549,31013240
Cupcake,6002969371568,101580680
Clam,6003110064342,15099630
Monster Energy,6003146880836,25831050
Single malt whisky,6003278978380,4281650
Sorbet,6003348047381,9206110
Pea,6003174943249,21406420
Baby bottle,6003286826569,34347457
Berry,6003709831116,49649900
White tea,6003481308864,1771770
Gin and tonic,6003508195564,4683796
Wasabi,6003207885738,8779550
T.G.I. Friday's,6003301915421,7407630
Street food,6003107610629,105168190
Cod,6003233286875,99545270
Sponge cake,6003316920363,6863050
Pho,6004088471400,25420880
Sparkling wine,6003382215781,48061470
Mocaccino,6002932577373,19917480
Prosecco,6003456578144,9239310
Bistro,6003292652611,51278530
Raspberry,6004108127209,20683600
Dough,6003342628536,69732240
Chewing gum,6003142198566,26051110
Cotton candy,6003362050060,8784740
Wedding cake,6002884645822,43535101
Camellia sinensis,6003292419979,27513110
Oatmeal,6003539270827,16073780
Gay bar,6003499531765,2127770
Mixed drink,6003223928661,12221660
Smoothie,6004160585695,51706620
Menu,6003597236673,18248920
Shopping bag,6003524730442,12371670
Eggplant,6003228448898,16718990
Magnum (ice cream),6003549461398,17589880
spicy food,6003395157147,62870780
Asian cuisine,6002959290720,11855890
Tiramisu,6003166506630,10754100
Gift shop,6003106645378,25021401
Tangerine,6003240193810,4838740
Stew,6003351610800,21819710
Buttercream,6003019452529,10232650
Cheddar cheese,6003701876691,30824980
Cheeseburger,6003398541003,20891749
Lettuce,6003029570185,26289090
Teapot,6003002261582,4330070
Barley,6003177401649,27816440
Chocolate bar,6003612009247,13095550
Taco,6003224062672,73575770
Lager,6003350282439,11706400
Clover,6003157371830,16684170
Spaghetti,6003587328273,26977170
Ruta,6014673807756,13984600
Marshmallow,6003402200839,17073330
Bottled water,6003195553898,4762690
Muffin,6003374633674,20709480
Patty,6003480741064,8669500
