"destination","origin","iso_d","iso_o","col","csl","cnl","prox1","lp1","prox2","lp2","cl","cle","contig","comlang_off","comlang_ethno","dist","distcap","distw","distwces","shared_hist","area_d","pop_d","area_o","pop_o","GDP_o","GDP_d","GDP_percapita_o","GDP_percapita_d","m_stock","m_flow_sd_drop_neg","m_flow_sd_rev_neg","m_flow_mig_rate","m_flow_da_min_open","m_flow_da_min_closed","m_flow_da_pb_closed","CS_wvs","CS_euc_wvs","CS_foursquare","CS_euc_foursquare","CS_symm","CS_nonsymm_food_o","CS_nonsymm_food_d","origin_Argentina","origin_Australia","origin_Brazil","origin_Chile","origin_France","origin_Great.Britain","origin_Indonesia","origin_Japan","origin_Malaysia","origin_Mexico","origin_Russia","origin_Singapore","origin_South.Korea","origin_Spain","origin_Turkey","origin_United.States","destination_Argentina","destination_Australia","destination_Brazil","destination_Chile","destination_France","destination_Great.Britain","destination_Indonesia","destination_Japan","destination_Malaysia","destination_Mexico","destination_Russia","destination_Singapore","destination_South.Korea","destination_Spain","destination_Turkey","destination_United.States","log10_m_flow_da_pb_closed","log10_m_stock","log10_pop_o","log10_pop_d","log10_area_o","log10_area_d","log10_GDP_o","log10_GDP_d","log10_GDP_percapita_o","log10_GDP_percapita_d","log10_distwces","log10_distcap"
"Australia","Japan","AUS","JPN",0,0.116400003433228,0,0,0,0.0597609132528305,0.53546267747879,0.0700267851352692,0.0705114305019379,0,0,0,7831.446,7958.28,7827.079,7789.92,0,7686848,25203200,377801,126860299,6187013947904.92,1450499018770.09,36043.7844,58868.48063,53176,6577,6577,9746,8137,8085,15656,0.803903389603864,0.60322174650277,0.136376175608574,0.608923055562478,-0.369408330848687,0.279089485421121,-0.501120523362381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19468081264994,4.72571566576608,8.10332573066145,7.40145568578599,5.57726310311971,6.88574829339997,12.7914810950876,12.1615174393483,4.55683038324356,4.76988282700425,3.89153299762931,3.9008192150712
"Australia","Malaysia","AUS","MYS",0,0.267657190561295,0.0126600991934538,0,0,0.0622671134769917,0.557918429374695,0.0846998766064644,0.0851984545588493,0,0,0,6617.087,6532.159,6084.2,5956.039,0,7686848,25203200,329758,31949789,398946603155.68,1450499018770.09,11114.54271,58868.48063,174137,33867,33867,29387,37875,31739,50881,-0.917873527439507,0.247063316344056,-0.70568831649116,0.198226161902011,0.180008640022211,0.408904609333549,0.19018416855404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70655563821847,5.240891058243,7.50446799437429,7.40145568578599,5.51819534042374,6.88574829339997,11.6009147716098,12.1615174393483,4.04589159905399,4.76988282700425,3.77495753283926,3.815056747403
"Australia","Mexico","AUS","MEX",0,0.0673397034406662,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,12985.17,13185.67,13430.11,13362.18,0,7686848,25203200,1967210,127575529,1309881765941.94,1450499018770.09,10013.72425,58868.48063,6761,1492,1492,1105,1,1264,2019,-0.00297621514775616,0.272810064515753,-0.372997868993497,0.4796057159453,-0.192585540977258,0.0353744857109409,-0.568517894631843,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30513631894364,3.83001093593612,8.10576737783754,7.40145568578599,6.29385072340338,6.88574829339997,12.1172320966356,12.1615174393483,4.00059562797039,4.76988282700425,4.12587731777543,4.12010220238202
"Australia","Russia","AUS","RUS",0,0.0485000014305115,0,0.25,1.94586646556854,0.15281730890274,1.36925554275513,0.179068610072136,0.180307924747467,0,0,0,14503.07,14491.46,13424.9,13270.88,0,7686848,25203200,17075400,145872260,1779170276409.99,1450499018770.09,9958.469727,58868.48063,28736,3495,3497,5279,4012,1,3350,-0.659231079766325,0.193941196511169,0.478852130680573,0.764428576284227,-0.487930181090261,-0.163263409085053,-0.631860794000827,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52504480703685,4.45842631498721,8.16397271153462,7.40145568578599,7.23237088604365,6.88574829339997,12.2502175144507,12.1615174393483,3.998192607482,4.76988282700425,4.12289972214646,4.1611121424071
"Australia","Singapore","AUS","SGP",1,0.695610880851746,0.109906397759914,0,0,0.0315765291452408,0.282928258180618,0.259245336055756,0.254118680953979,0,1,1,6301.786,6217.666,5893.497,5773.683,0,7686848,25203200,646,5804343,338646194792.89,1450499018770.09,61386.23615,58868.48063,64740,6430,6430,12188,6404,7251,16557,-0.629286388830881,0.312983117708915,-0.789549458301097,0.313197180256555,0.23749888710127,0.316562980784365,0.36916846393301,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21898164878493,4.81117269506655,6.76375306858407,7.40145568578599,2.81023251799508,6.88574829339997,11.5297462000081,12.1615174393483,4.78807100576346,4.76988282700425,3.76145293556651,3.79362738894344
"Australia","South Korea","AUS","KOR",0,0,0,0,0,0,0,0,0,0,0,1,8329.652,8418.786,8112.907,8080.573,0,7686848,25203200,99484,51225321,1482760164322.84,1450499018770.09,31640.21463,58868.48063,121205,16847,16847,21832,20773,20508,33883,-0.0562898671395232,0.192279962726963,0.429417982876403,0.642427719716585,-0.24214879448591,0.148113496190784,-0.434272653475091,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52998185578398,5.08352053589974,7.70948468855868,7.40145568578599,4.99775323883155,6.88574829339997,12.1710709098048,12.1615174393483,4.50023942085309,4.76988282700425,3.90744215804127,3.92524947017981
"Australia","Spain","AUS","ESP",0,0.276957243680954,0.000199999994947575,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153116837143898,0.154175162315369,0,0,0,17699.45,17591.48,17072.92,17016.02,0,7686848,25203200,505954,46736782,1572012697558.03,1450499018770.09,28087.89792,58868.48063,19595,2218,2218,3634,3119,3073,7327,0.988684231097517,0.767259750424521,0.681418527918843,0.753380232633437,-0.213543937675558,0.121729640684894,-0.322293378724179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86492619153901,4.29214526781412,7.66965880630706,7.40145568578599,5.70411103372855,6.88574829339997,12.1964560496278,12.1615174393483,4.44851923810137,4.76988282700425,4.23085798734863,4.24530237890001
"Australia","Turkey","AUS","TUR",0,0.165150538086891,9.99999974737875e-05,0,0,0.0668753162026405,0.599208295345306,0.0784554779529572,0.0789977610111237,0,0,0,14960.31,14512.6,14180.88,14112.3,0,7686848,25203200,780576,83429607,1261946143648.6,1450499018770.09,11935.38787,58868.48063,42881,3946,3946,8137,3488,767,7311,-0.941351627695273,0.122050102698691,0.74622335485304,0.78929851320605,-0.277765373482016,0.27052948394405,-0.851730279022305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86397678390439,4.63226490470286,7.92132019781931,7.40145568578599,5.89241519410408,6.88574829339997,12.1010408208231,12.1615174393483,4.0768365370473,4.76988282700425,4.14959780014033,4.16174522529089
"Australia","United States","AUS","USA",1,0.931420207023621,0.574000000953674,0.0375000238418579,0.291880160570145,0.0195788145065308,0.175427779555321,0.639484822750092,0.636989712715149,0,1,1,16008.79,15961.95,14802.03,14589.17,0,7686848,25203200,9529106,329064917,18349108235210.1,1450499018770.09,60698.0113,58868.48063,114550,11971,11971,21443,87853,1309,34056,0.995758080012804,0.786710249156315,-0.389121804221412,0.420283662308488,0.45026895934359,0.640784304323387,0.629217600784902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53219363716908,5.05899509352542,8.51728158279426,7.40145568578599,6.97905215798575,6.88574829339997,13.2636149624334,12.1615174393483,4.78317446215294,4.76988282700425,4.16403058492474,4.20308594606911
"Brazil","Argentina","BRA","ARG",0,0.0605287216603756,0.0007999999797903,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497703820466995,0.501142799854279,1,0,0,1691.067,2353.257,2391.846,2089.281,0,8511920,211049519,2766889,44780675,437813398163.19,2364445788869.69,12716.2242,8592.210218,39079,2940,2940,6961,4104,9846,21202,0.7688173073309,0.919551069207198,0.840262155693444,0.772091495664375,0.176917368730129,0.10779643147495,0.217245630437063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32637683017381,4.59194344194442,7.65109063561563,8.32438436669709,6.44199173678662,6.93002753321674,11.641289047911,12.3737293611238,4.10435817636482,3.93410489398404,3.31999685479233,3.37166935921467
